CustomerID,First_Name,Last_Name,Phone_Number,Paying Customer,Do_Not_Contact,street,state,zipcode
1001,Frodo,Baggins,123-545-5421,Yes,no,123 Shire Lane,Shire,
1005,Jon,Snow,876-678-3469,Yes,no,123 Dragons Road,,
1008,Sherlock,Holmes,876-678-3469,No,no,98 Clue Drive,,
1010,Peter,Parker,123-545-5421,Yes,no,25th Main Street,New York,
1013,Don,Draper,123-543-2345,Yes,no,2039 Main Street,,
1014,Leslie,Knope,876-678-3469,Yes,no,343 City Parkway,,
1015,Toby,Flenderson,304-762-2467,No,no,214 HR Avenue,,
1016,Ron,Weasley,123-545-5421,No,no,2395 Hogwarts Avenue,,
1017,Michael ,Scott,123-643-9775,Yes,no,121 Paper Avenue,Pennsylvania,
1020,Anakin,Skywalker,876-678-3469,Yes,no,910 Tatooine Road,Tatooine,
